student_id,offering_id,grade_id
1,1,2
1,2,3
1,3,2
1,4,2
1,5,2
1,6,1
1,7,2
1,8,3
1,9,2
1,10,1
1,11,1
1,12,1
2,1,2
2,2,3
2,3,3
2,4,2
2,5,3
2,6,1
2,7,2
2,8,3
2,9,3
2,10,1
2,11,2
2,12,1
3,1,2
3,2,2
3,3,2
3,4,3
3,5,1
3,6,1
3,7,1
3,8,3
3,9,1
3,10,3
3,11,3
3,12,1
4,1,2
4,2,2
4,3,3
4,4,1
4,5,2
4,6,1
4,7,1
4,8,1
4,9,3
4,10,3
4,11,1
4,12,2
5,1,2
5,2,1
5,3,1
5,4,1
5,5,2
5,6,2
5,7,3
5,8,3
5,9,2
5,10,3
5,11,3
5,12,1
26,1,1
26,2,1
26,3,3
26,4,2
26,5,3
26,6,1
26,7,1
26,8,1
26,9,1
26,10,1
26,11,3
26,12,1
31,1,2
31,2,2
31,3,2
31,4,1
31,5,2
31,6,1
31,7,1
31,8,3
31,9,2
31,10,3
31,11,3
31,12,2
36,1,2
36,2,1
36,3,1
36,4,1
36,5,2
36,6,3
36,7,3
36,8,2
36,9,1
36,10,2
36,11,1
36,12,2
41,1,2
41,2,2
41,3,3
41,4,3
41,5,3
41,6,3
41,7,3
41,8,3
41,9,2
41,10,1
41,11,1
41,12,2
46,1,2
46,2,3
46,3,2
46,4,3
46,5,1
46,6,2
46,7,3
46,8,3
46,9,3
46,10,2
46,11,1
46,12,1
6,13,2
6,14,3
6,15,2
6,16,1
6,17,2
6,18,2
6,19,1
6,20,1
6,21,1
6,22,2
6,23,3
6,24,2
6,25,1
7,13,2
7,14,2
7,15,2
7,16,1
7,17,1
7,18,2
7,19,2
7,20,1
7,21,3
7,22,2
7,23,3
7,24,2
7,25,2
8,13,2
8,14,2
8,15,1
8,16,1
8,17,2
8,18,3
8,19,2
8,20,3
8,21,3
8,22,3
8,23,3
8,24,3
8,25,3
9,13,2
9,14,2
9,15,3
9,16,2
9,17,2
9,18,3
9,19,3
9,20,2
9,21,2
9,22,2
9,23,3
9,24,2
9,25,3
10,13,1
10,14,3
10,15,2
10,16,3
10,17,2
10,18,2
10,19,2
10,20,3
10,21,2
10,22,2
10,23,2
10,24,3
10,25,2
27,13,2
27,14,1
27,15,3
27,16,2
27,17,2
27,18,1
27,19,1
27,20,2
27,21,1
27,22,1
27,23,3
27,24,3
27,25,3
32,13,1
32,14,2
32,15,2
32,16,1
32,17,3
32,18,2
32,19,2
32,20,3
32,21,1
32,22,3
32,23,2
32,24,1
32,25,1
37,13,1
37,14,2
37,15,1
37,16,3
37,17,1
37,18,1
37,19,3
37,20,2
37,21,2
37,22,2
37,23,3
37,24,2
37,25,2
42,13,2
42,14,1
42,15,2
42,16,2
42,17,3
42,18,2
42,19,3
42,20,1
42,21,1
42,22,2
42,23,2
42,24,1
42,25,3
47,13,3
47,14,1
47,15,1
47,16,3
47,17,3
47,18,1
47,19,2
47,20,1
47,21,1
47,22,2
47,23,3
47,24,2
47,25,3
11,26,3
11,27,2
11,28,2
11,29,1
11,30,3
11,31,3
12,26,1
12,27,1
12,28,3
12,29,1
12,30,3
12,31,1
13,26,3
13,27,3
13,28,1
13,29,3
13,30,2
13,31,1
14,26,3
14,27,3
14,28,1
14,29,3
14,30,1
14,31,1
15,26,1
15,27,1
15,28,1
15,29,1
15,30,3
15,31,2
28,26,3
28,27,1
28,28,2
28,29,1
28,30,1
28,31,1
33,26,1
33,27,1
33,28,3
33,29,3
33,30,3
33,31,1
38,26,1
38,27,1
38,28,2
38,29,1
38,30,3
38,31,2
43,26,2
43,27,2
43,28,1
43,29,2
43,30,1
43,31,1
48,26,2
48,27,1
48,28,2
48,29,1
48,30,2
48,31,1
16,32,1
16,33,2
16,34,1
16,35,1
16,36,3
16,37,3
16,38,3
16,39,1
16,40,2
17,32,2
17,33,2
17,34,3
17,35,2
17,36,2
17,37,2
17,38,2
17,39,3
17,40,1
18,32,3
18,33,2
18,34,3
18,35,3
18,36,1
18,37,1
18,38,2
18,39,3
18,40,1
19,32,1
19,33,3
19,34,1
19,35,1
19,36,2
19,37,3
19,38,2
19,39,2
19,40,2
20,32,3
20,33,1
20,34,3
20,35,2
20,36,2
20,37,2
20,38,2
20,39,2
20,40,3
29,32,3
29,33,1
29,34,1
29,35,2
29,36,1
29,37,3
29,38,3
29,39,2
29,40,1
34,32,2
34,33,2
34,34,2
34,35,1
34,36,3
34,37,3
34,38,1
34,39,3
34,40,3
39,32,3
39,33,1
39,34,1
39,35,3
39,36,2
39,37,1
39,38,1
39,39,2
39,40,3
44,32,2
44,33,2
44,34,1
44,35,1
44,36,3
44,37,1
44,38,2
44,39,2
44,40,3
49,32,2
49,33,1
49,34,1
49,35,2
49,36,1
49,37,2
49,38,1
49,39,2
49,40,2
21,41,3
21,42,3
21,43,3
21,44,3
21,45,2
21,46,2
22,41,2
22,42,1
22,43,1
22,44,3
22,45,2
22,46,1
23,41,3
23,42,1
23,43,2
23,44,1
23,45,3
23,46,2
24,41,2
24,42,1
24,43,2
24,44,1
24,45,3
24,46,2
25,41,1
25,42,2
25,43,1
25,44,3
25,45,2
25,46,1
30,41,3
30,42,3
30,43,2
30,44,1
30,45,3
30,46,3
35,41,2
35,42,1
35,43,2
35,44,2
35,45,2
35,46,1
40,41,2
40,42,2
40,43,2
40,44,3
40,45,1
40,46,1
45,41,1
45,42,2
45,43,3
45,44,1
45,45,2
45,46,1
50,41,3
50,42,2
50,43,1
50,44,3
50,45,1
50,46,2
26,47,2
27,47,1
28,47,3
29,47,3
30,47,3
46,47,2
47,47,1
48,47,2
49,47,3
50,47,3
36,48,1
37,48,3
38,48,2
39,48,3
40,48,1
41,48,1
42,48,2
43,48,2
44,48,3
45,48,1
